BK;WE;Objekt-Nr;BK/WE/ON;Objekt-Bezeichnung;Gebäudeart;Land;PLZ;Ort;Straße;Bahnhof;Region/Standort;Elektrotechniker
8300;1121301;135;8300/1121301/135;Streckenleitungsgebäude - Mistelbach;Betriebsgebäude;AT;2130;Mistelbach;Josef Dunkelstraße 4;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1121361;136;8300/1121361/136;Bahnmeistergebäude - Laa/Thaya;Betriebsgebäude;AT;2136;Laa/Thaya;Am Ostbahnhof 2-4;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1131701;141;8300/1131701/141;Bauhofgebäude+Garage - Hainfeld;Garagen und Hallen;AT;3170;Hainfeld;Bahnstraße 29;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1131001;143;8300/1131001/143;HAZ+HVGebäude - St. Pölten Kaiserwald;Betriebsgebäude;AT;3100;St. Pölten;Alte Reichsstraße 1;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1210811;148;8300/1210811/148;Rottenunterkunft - Mattersburg;Rotten/Verschubunterkünfte;AT;7210;Mattersburg;Bahnhofplatz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216812;149;8300/1216812/149;Rottenunterkunft+Magazin BM - Oberwart;Rotten/Verschubunterkünfte;AT;7400;Oberwart;Prinz Eugen Straße 5;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216212;150;8300/1216212/150;Rottenunterkunft - Piesting;Rotten/Verschubunterkünfte;AT;2753;Piesting;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1122731;160;8300/1122731/160;BM Zollgebäude - Hohenau;Betriebsgebäude;AT;2273;Hohenau;Bahnstraße 38;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1122011;167;8300/1122011/167;Wohngebäude ehem Kanzlei - Wien Süssenbrunn;1-2-Familienhaus;AT;2201;Gerasdorf;Gerasdorf 129a;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1110301;175;8300/1110301/175;Dienstgebäude Aspangstraße 33 - Wien;Büro/Verwaltungsgebäude;AT;1030;Wien;Aspangstraße 33;;IMM Wien (Wien);
8300;1112302;178;8300/1112302/178;Verwaltungsgebäude Öllager - Wien Inzersdorf;Büro/Verwaltungsgebäude;AT;1230;Wien;Neilreichgasse 247;;IMM Wien (Wien);
8300;1111401;181;8300/1111401/181;Wohngebäude ehem Fdl Fbf - Wien Penzing;Sonstige Gebäude;AT;1140;Wien Penzing;;;IMM Wien (Wien);
8300;1111301;189;8300/1111301/189;Dienstgeb ehem BM Wien - Wien Maxing;Rotten/Verschubunterkünfte;AT;1130;Wien Maxing;;;IMM Wien (Wien);
8300;1220551;192;8300/1220551/192;Bahnmeistergebäude - Gloggnitz;Betriebsgebäude;AT;2640;Gloggnitz;Bahnhof 5;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220551;195;8300/1220551/195;ehem Bahnmeistergebäude - Semmering;aufgelassene Betriebsgebäude;AT;2680;Semmering;Semmering 149;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1148001;203;8300/1148001/203;Verwaltungsgebäude 1 Zgf - Attnang/Puchheim;Büro/Verwaltungsgebäude;AT;4800;Attnang/Puchheim;Heizhausgasse 21;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1148001;204;8300/1148001/204;Verwaltungsgebäude 2 Zgf - Attnang/Puchheim;Büro/Verwaltungsgebäude;AT;4800;Attnang/Puchheim;Heizhausgasse 21;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1148001;206;8300/1148001/206;Bahnmeistergebäude - Attnang/Puchheim;Betriebsgebäude;AT;4800;Attnang/Puchheim;Salzburgerstraße 49;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1152801;208;8300/1152801/208;ehem Bahnmeistergebäude - Braunau/Inn;Rotten/Verschubunterkünfte;AT;5280;Braunau/Inn;;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1155001;210;8300/1155001/210;Verwaltungsgebäude Zgf - Bischofshofen;Büro/Verwaltungsgebäude;AT;5500;Bischofshofen;Heizhausgasse 6;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1240171;214;8300/1240171/214;BM Verwaltungsgebäude - Bruck/Fusch;Büro/Verwaltungsgebäude;AT;5671;Bruck/Fusch;Bahnhofstraße 18;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1140205;215;8300/1140205/215;ehem Bahnmeistergebäude - Linz Vbf;aufgelassene Betriebsgebäude;AT;4020;Linz;Turmstraße 12;;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1140201;224;8300/1140201/224;Signalmeistergebäude l.d.b - Linz Hbf;Werkstatt-Gebäude;AT;4020;Linz;;;IMM Oberösterreich (Linz);Gross Markus
8300;1235811;227;8300/1235811/227;Bahnmeistergebäude - Rohrbach Berg;Betriebsgebäude;AT;4150;Rohrbach;Bahnhofstraße 56;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1147801;237;8300/1147801/237;Dienstgebäude Bahnmeister - Schärding;Büro/Verwaltungsgebäude;AT;4780;Schärding;Bahnhofstraße 56;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1146001;238;8300/1146001/238;Aufnahmegebäude - Wels Vbf;Betriebsgebäude;AT;4600;Wels;Flugplatzstraße 14a;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1146001;239;8300/1146001/239;Verwaltungsgebäude Zgf - Wels Vbf;Büro/Verwaltungsgebäude;AT;4600;Wels;Flugplatzstraße 14;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1146001;240;8300/1146001/240;Dienstgebäude PEL+ROA Zgf - Wels Vbf;Büro/Verwaltungsgebäude;AT;4600;Wels;Flugplatzstraße 14;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1260221;241;8300/1260221/241;Technikgebäude Schönberg - Schönberg;Technikgebäude;AT;6020;Schönberg;Ruetzwerkstraße 5;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1146001;242;8300/1146001/242;Wohngebäude ehem Streckenleitung - Wels;Wohngebäude;AT;4600;Wels;Dr.Schauerstraße 32;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1146001;243;8300/1146001/243;Wagenschlossergebäude - Wels;Betriebsgebäude;AT;4600;Wels;Bahnhofstraße 31a;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1146421;245;8300/1146421/245;Wohngebäude ehem BM - Gebäude Sattledt;1-2-Familienhaus;AT;4642;Sattledt;Bahnhofstraße 5;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1199996;246;8300/1199996/246;Wohngebäude Schneiderau 126 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Schneiderau 126;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1199996;247;8300/1199996/247;Wohngebäude Schneiderau 127 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Schneiderau 127;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1199996;248;8300/1199996/248;Wohngebäude Schneiderau 128 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Schneiderau 128;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;250;8300/1157231/250;Wohngebäude Bahnsiedl 2 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Bahnsiedlung 2;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;251;8300/1157231/251;Wohngebäude Bahnsiedl 4 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Bahnsiedlung 4;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;252;8300/1157231/252;Wohngebäude Bahnsiedl 6 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Bahnsiedlung 6;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;253;8300/1157231/253;Wohngebäude Bahnsiedl 3 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Bahnsiedlung 3;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;254;8300/1157231/254;Wohngebäude Bahnsiedl 8 - Uttendorf;Wohngebäude;AT;5723;Uttendorf;Bahnsiedlung 8;;IMM Salzburg (Salzburg);Fuerboeck Ursula
8300;1157231;255;8300/1157231/255;Wohngebäude Bahnsiedl 1 - Uttendorf;1-2-Familienhaus;AT;5723;Uttendorf;Bahnsiedlung 1;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1250161;257;8300/1250161/257;Übernachtungsgebäude - Braz;Sozialimmobilie;AT;6751;Innerbraz;Innerbraz 2;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1163801;258;8300/1163801/258;Technikgebäude - St. Johann/Tirol;Technikgebäude;AT;6380;St. Johann/Tirol;Bahnhofstraße 26;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1163001;259;8300/1163001/259;Bahnmeistergebäude - Wörgl;Betriebsgebäude;AT;6300;Wörgl;Angatherweg 10;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1163001;260;8300/1163001/260;BASA Gebäude - Wörgl;Betriebsgebäude;AT;6300;Wörgl;Angather Weg 8;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1186051;263;8300/1186051/263;Dienstgebäude Fbf - Bruck/Mur;Büro/Verwaltungsgebäude;AT;8600;Bruck/Mur;Lastenstraße 3;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1270542;264;8300/1270542/264;Postgebäude - Spielfeld/Straß;Betriebsgebäude;AT;8471;Spielfeld/Straß;;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1187202;267;8300/1187202/267;Kanzleigebäude OBW - Zeltweg;Betriebsgebäude;AT;8740;Zeltweg;Lagerweg 42;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1187001;270;8300/1187001/270;Streckenleitungsgebäude - Leoben Hbf;Betriebsgebäude;AT;8700;Leoben;Martin Luther-Kai 6;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1260221;277;8300/1260221/277;Technikgebäude Schönberg - Innsbruck;Technikgebäude;AT;6020;Schönberg im Stubaital;Ruetzwerkstraße 5;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1272111;279;8300/1272111/279;Magazin - Feldkirchen/Kärnten;Cargo-Terminal;AT;9560;Feldkirchen/Kärnten;Bahnhofstraße 46/2;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1272111;280;8300/1272111/280;Magazin BM - Ossiach/Bodensdorf;Magazingebäude;AT;9551;Ossiach/Bodensdorf;Bahnhofstraße 9;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1195001;282;8300/1195001/282;Logistik Center Gütermagazin - Villach Hbf;LogistikCenter;AT;9500;Villach;Zeidler von Görz Straße 4;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1195001;285;8300/1195001/285;ehem Bahnmeister - Villach Wbf;aufgelassene Betriebsgebäude;AT;9500;Villach;Italienerstrasse 74;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1236111;302;8300/1236111/302;Betriebsgebäude, Lastenstraße 5 - Mattighofen;Betriebsgebäude;AT;5230;Mattighofen;Lastenstraße 5;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1189001;303;8300/1189001/303;Betriebsgebäude Zgf - Selzthal;Betriebsgebäude;AT;8900;Selzthal;Heizhausweg 2;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1198421;304;8300/1198421/304;Wohngebäude Nr 19 - Lassach;1-2-Familienhaus;AT;9821;Lassach;Lassach 20;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1160101;305;8300/1160101/305;Wagenwaschanlage - Innsbruck Westbahnhof;Betriebsgebäude;AT;6020;Innsbruck;;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1260221;309;8300/1260221/309;Bahnmeistergebäude - Steinach/Tirol;Betriebsgebäude;AT;6150;Steinach/Tirol;Bahnhofstraße 170;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1187201;315;8300/1187201/315;Verwaltungsgebäude alt - Knittelfeld;Büro/Verwaltungsgebäude;AT;8720;Knittelfeld;Lobmingerstraße 5;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1187001;317;8300/1187001/317;Verwaltungsgebäude - Leoben Hbf;Büro/Verwaltungsgebäude;AT;8700;Leoben;Südbahnstraße 1;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1198001;320;8300/1198001/320;Wohngebäude ehem Streckenleitung - Spittal/Drau;Wohngebäude;AT;9800;Spittal a.d. Drau;Carl-Wurmbweg 2;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1134301;326;8300/1134301/326;Meßzuggebäude - Tulln;Betriebsgebäude;AT;3430;Tulln;Bahnhofstraße 69/2;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1189001;333;8300/1189001/333;Dienstgebäude SIDI - Selzthal;Büro/Verwaltungsgebäude;AT;8900;Selzthal;Bahnhofstraße 3a;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1189001;334;8300/1189001/334;Streckenleitungsgebäude - Selzthal;Betriebsgebäude;AT;8900;Selzthal;Bahnhofstraße 2;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1189001;335;8300/1189001/335;Bahnmeistergebäude - Selzthal;Betriebsgebäude;AT;8900;Selzthal;Heizhausweg 8;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1163701;336;8300/1163701/336;BASA Gebäude - Kitzbühel;Betriebsgebäude;AT;6370;Kitzbühel;Bahnhofplatz 3;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1183501;337;8300/1183501/337;Verwaltungsgebäude Zgf - Fehring;Büro/Verwaltungsgebäude;AT;8350;Fehring;Brunn 43;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1276711;338;8300/1276711/338;Rottenunterkunft - Fürstenfeld;Rotten/Verschubunterkünfte;AT;8280;Fürstenfeld;Neubaugasse 10;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1276712;339;8300/1276712/339;Bahnmeistergebäude - Hartberg;Betriebsgebäude;AT;8230;Hartberg;St. Johanner Straße 10;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1127711;341;8300/1127711/341;Bahnmeistergebäude - Bad Fischau;Betriebsgebäude;AT;2721;Bad Fischau;Bahnstraße 2;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220551;343;8300/1220551/343;FLM Gebäude - Gloggnitz;Betriebsgebäude;AT;2640;Gloggnitz;Bahnhof 3;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1160102;347;8300/1160102/347;Direktionsgebäude - Innsbruck;Büro/Verwaltungsgebäude;AT;6020;Innsbruck;Claudiastraße 2;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1195001;348;8300/1195001/348;Direktionsgebäude - Villach;Büro/Verwaltungsgebäude;AT;9500;Villach;10.Oktoberstraße 20;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1260121;355;8300/1260121/355;Wohngebäude ehem BM - Brixlegg;aufgelassene Betriebsgebäude;AT;6230;Brixlegg;Marktstraße 1;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1139501;357;8300/1139501/357;Güterkassa - Gmünd;LogistikCenter;AT;3950;Gmünd;Bahnhofplatz 3;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1112001;360;8300/1112001/360;Kassengebäude - Wien Nordwest;LogistikCenter;AT;1200;Wien;Taborstraße 95;;IMM Wien (Wien);
8300;1111201;365;8300/1111201/365;Bahnmeistergebäude - Wien Meidling;Betriebsgebäude;AT;1120;Wien Meidling;Kerschensteingerstraße 28-30;;IMM Wien (Wien);
8300;1112301;366;8300/1112301/366;KBL Verwaltungsgebäude  - Wien Liesing;Büro/Verwaltungsgebäude;AT;1230;Wien;Brunner Straße 72-76;;IMM Wien (Wien);
8300;1155001;367;8300/1155001/367;Aufnahmegebäude - Bischofshofen;Aufnahmegebäude;AT;5500;Bischofshofen;Bahnhofgasse 12;Bischofshofen;IMM Salzburg (Salzburg);Hess Rudolf
8300;1142401;368;8300/1142401/368;Bahnmeistergebäude - Freistadt;Betriebsgebäude;AT;4240;Freistadt;Trölsberg 27;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1127001;370;8300/1127001/370;Ungarische Kaserne - Wr. Neustadt;Sozialimmobilie;AT;2700;Wiener Neustadt;Bahnhofplatz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1134301;371;8300/1134301/371;Brückenmeister Werkstatt - Tulln;Werkstatt-Gebäude;AT;3430;Tulln;;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1112001;373;8300/1112001/373;KBL Portiergebäude;Sonstige Gebäude;AT;1200;Wien;Nordwestbahnstraße 16;;IMM Wien (Wien);
8300;1280672;375;8300/1280672/375;Bahneistergebäude - Gummern;Betriebsgebäude;AT;9722;Gummern;Gersheim Straße 15;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1120701;377;8300/1120701/377;Traktion DS Meldestelle - Retz;Betriebsgebäude;AT;2070;Retz;;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1137511;381;8300/1137511/381;Basagebäude - Sigmundsherberg;Betriebsgebäude;AT;3751;Sigmundsherberg;Bahnstraße 14;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1137511;382;8300/1137511/382;Verschieberunterkunft - Sigmundsherberg;Rotten/Verschubunterkünfte;AT;3751;Sigmundsherberg;Bahnstraße 15;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1195001;389;8300/1195001/389;Dienstgebäude - Villach Wbf;Büro/Verwaltungsgebäude;AT;9500;Villach;Steinwenderstraße 4;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1196011;390;8300/1196011/390;Zentralstellwerk - Arnoldstein;Stellwerksgebäude;AT;9601;Arnoldstein;;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1186801;392;8300/1186801/392;Verwaltungsgebäude Zgf - Mürzzuschlag;Büro/Verwaltungsgebäude;AT;8680;Mürzzuschlag;Heizhausgasse 4;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Schneller Thomas
8300;1133801;397;8300/1133801/397;Dienstgebäuede ehem BM - Pöchlarn;Werkstatt-Gebäude;AT;3380;Pöchlarn;;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1140201;400;8300/1140201/400;Dienstgebäude Signalmeister - Linz;Werkstatt-Gebäude;AT;4020;Linz;Wienerstraße 2a;;IMM Oberösterreich (Linz);Gross Markus
8300;1140201;401;8300/1140201/401;Signalstreckenleitung Haus 1 - Linz;Betriebsgebäude;AT;4020;Linz;Wienerstraße 2a;;IMM Oberösterreich (Linz);Gross Markus
8300;1180201;410;8300/1180201/410;Verwaltungsgebäude Zgf - Graz;Büro/Verwaltungsgebäude;AT;8020;Graz;Wagnerbirostraße 30b;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1281322;411;8300/1281322/411;ehem Bahnmeister - Friesach;aufgelassene Betriebsgebäude;AT;9360;Friesach;Bahnhofstraße 34;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1187201;412;8300/1187201/412;Verwaltungsgebäude TR - Knittelfeld;Büro/Verwaltungsgebäude;AT;8720;Knittelfeld;Ainbachallee 14;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1187201;413;8300/1187201/413;Dienstgebäude ehem Strltg - Knittelfeld;Büro/Verwaltungsgebäude;AT;8720;Knittelfeld;Bahnhofplatz 7;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1195001;419;8300/1195001/419;Verwaltungsgebäude Telekom - Villach;Büro/Verwaltungsgebäude;AT;9523;Villach-Landskron;Meisenweg 48;;IMM Kärnten/Osttirol  (Villach);Schmoelzer Christian
8300;1124602;424;8300/1124602/424;Bahnmeistergebäude - Bruck/Leitha;Betriebsgebäude;AT;2460;Bruck/Leitha;Bahnhofplatz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1121301;426;8300/1121301/426;Dienstgebäude Zgf - Mistelbach Lokalbf;aufgelassene Betriebsgebäude;AT;2130;Mistelbach;Landesbahnstraße 3;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1137511;427;8300/1137511/427;Lokstelle - Sigmundsherberg;Betriebsgebäude;AT;3751;Sigmundsherberg;;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1131301;431;8300/1131301/431;ehem Bahnmeistergebäude - Herzogenburg;aufgelassene Betriebsgebäude;AT;3130;Herzogenburg;;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1130021;446;8300/1130021/446;Bahnmeistergebäude - Unter Purkersdorf;Betriebsgebäude;AT;3002;Unter Purkersdorf;Wintergasse 42;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1131001;448;8300/1131001/448;Dienstgebäude Elektromeister - St. Pölten Hbf;Büro/Verwaltungsgebäude;AT;3100;St. Pölten;Hermann Winger Gasse 10;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1111401;449;8300/1111401/449;Verwaltungsgebäude EZW - Wien Penzing;Büro/Verwaltungsgebäude;AT;1140;Wien Penzing;;;IMM Wien (Wien);
8300;1220131;450;8300/1220131/450;ehem Bahnmeistergebäude - Neulengbach;Betriebsgebäude;AT;3040;Neulengbach;Rehaugasse 14a;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1110901;451;8300/1110901/451;Dienstgebäude - Wien FJB;Büro/Verwaltungsgebäude;AT;1090;Wien;Althanstraße 12-14;;IMM Wien (Wien);
8300;1110901;453;8300/1110901/453;Betriebsgebäude Bf - Wien FJB;Betriebsgebäude;AT;1090;Wien;Althanstraße 6;;IMM Wien (Wien);
8300;1111501;454;8300/1111501/454;Wagenreinigungsgebäude - Wien West;Betriebsgebäude;AT;1150;Wien;;;IMM Wien (Wien);
8300;1111501;455;8300/1111501/455;Dienstgebäude Obj 2 - Wien West;Rotten/Verschubunterkünfte;AT;1150;Wien;;;IMM Wien (Wien);
8300;1148201;456;8300/1148201/456;Bahnmeistergebäude - Bad Ischl;Betriebsgebäude;AT;4820;Bad Ischl;Traunkai 49;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1149101;457;8300/1149101/457;Bahnmeistergebäude - Ried/Innkreis;Betriebsgebäude;AT;4910;Ried/Innkreis;Eberschwangerstraße 4;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1156201;458;8300/1156201/458;Bauhofgebäude - Schwarzach/St. Veit;Betriebsgebäude;AT;5620;Schwarzach/St. Veit;Kraftwerkstraße 3;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1148901;465;8300/1148901/465;ehem Bahnmeistergebäude - Frankenmarkt;aufgelassene Betriebsgebäude;AT;4890;Frankenmarkt;Hauchhorn 13;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1144001;468;8300/1144001/468;Signalmeistergebäude - Steyr;Betriebsgebäude;AT;4400;Steyr;Damberggasse 4a;;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1144641;469;8300/1144641/469;Bahnmeistergebäude - Kleinreifling;Betriebsgebäude;AT;4464;Kleinreifling;Kleinreifling 144;;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1143001;471;8300/1143001/471;Dienstgebäude Verschub - St. Valentin;Betriebsgebäude;AT;4300;St.Valentin;Kohlenplatzstraße 11;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1160101;474;8300/1160101/474;Kraftwerksleitung - Innsbruck;Büro/Verwaltungsgebäude;AT;6020;Innsbruck;Dr.-Ing.-Riehl-Straße 3-5;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1160101;476;8300/1160101/476;HAZ+Bauhofgebäude - Innsbruck;Betriebsgebäude;AT;6020;Innsbruck;Amraserstraße 24c;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1160102;477;8300/1160102/477;Remise 2 - Innsbruck Hbf;Betriebsgebäude;AT;6020;Innsbruck;Hauptfrachtenbahnhof 6;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
